game_pk,date,home,away,home_team_id,away_team_id,home_sp_id,away_sp_id,r1_home_runs,r1_away_runs,r1_total_runs,over_0_5,season,home_sp_fip,away_sp_fip,home_team_wrc_plus,away_team_wrc_plus,park_factor_runs,home_sp_r1_runs_avg,home_sp_r1_run_rate,home_sp_r1_starts_n,away_sp_r1_runs_avg,away_sp_r1_run_rate,away_sp_r1_starts_n
776340,2025-09-13,ATH,CIN,133,113,622663.0,668881.0,0,0,0,0,2025,2.6,2.66953642384106,5.1,4.5,97,0.25,0.125,8,0.125,0.125,8
776343,2025-09-13,TOR,BAL,141,110,453286.0,608372.0,0,2,2,1,2025,5.424723247232473,5.847747747747747,5.8,3.4,101,0.375,0.25,8,0.375,0.25,8
776338,2025-09-13,CHC,TB,112,139,607067.0,656876.0,0,0,0,0,2025,4.0426229508196725,5.207142857142857,4.3,3.8,98,0.625,0.375,8,0.625,0.375,8
776346,2025-09-13,ATL,HOU,144,117,693821.0,686613.0,0,0,0,0,2025,2.736963696369637,3.264473684210526,3.2,4.6,100,1.125,0.5,8,0.875,0.375,8
776347,2025-09-13,MIA,DET,146,116,676083.0,450203.0,1,0,1,1,2025,5.153231939163499,5.38448275862069,5.0,6.2,93,0.0,0.0,7,0.0,0.0,8
776337,2025-09-13,MIN,ARI,142,109,657746.0,669194.0,0,0,0,0,2025,4.546280991735538,3.4654485049833887,4.8,5.2,99,0.125,0.125,8,0.0,0.0,8
776342,2025-09-13,PHI,KC,143,118,592836.0,686701.0,2,3,5,1,2025,5.161068702290077,4.083606557377049,5.7,3.1,102,0.5,0.375,8,0.16666666666666666,0.16666666666666666,6
776344,2025-09-13,BOS,NYY,111,147,678394.0,608331.0,0,2,2,1,2025,3.397029702970297,3.19375,4.9,4.6,104,0.375,0.25,8,0.5,0.375,8
776328,2025-09-13,SF,LAD,137,119,657277.0,477132.0,4,1,5,1,2025,2.5838709677419356,2.6454545454545455,6.2,3.9,95,0.375,0.25,8,0.375,0.375,8
776331,2025-09-14,CLE,CWS,114,145,677944.0,672782.0,0,0,0,0,2025,4.943003412969284,4.867241379310345,3.9,4.4,97,0.25,0.25,8,0.0,0.0,2
776323,2025-09-14,SD,COL,135,115,506433.0,608566.0,3,0,3,1,2025,5.944827586206896,7.645454545454545,4.5,3.0,96,0.375,0.375,8,0.5,0.25,8
776325,2025-09-14,SF,LAD,137,119,592662.0,607192.0,0,0,0,0,2025,3.793877551020408,2.745390070921986,6.1,4.5,95,0.5,0.5,8,0.375,0.25,8
776330,2025-09-14,BOS,NYY,111,147,676979.0,701542.0,6,0,6,1,2025,3.8878787878787877,4.876859504132232,4.6,4.4,104,0.25,0.125,8,0.875,0.125,8
776329,2025-09-14,ATL,HOU,144,117,666214.0,664285.0,1,1,2,1,2025,4.501869158878504,4.093377483443708,2.8,5.1,100,1.0,0.25,8,1.125,0.375,8
776334,2025-09-14,PHI,KC,143,118,605400.0,702070.0,2,0,2,1,2025,4.215537848605578,5.685551330798479,6.2,3.4,102,0.75,0.25,8,0.5,0.5,4
776335,2025-09-14,NYM,TEX,121,140,690997.0,656641.0,0,0,0,0,2025,2.458974358974359,3.336220472440945,2.7,3.8,94,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3
776326,2025-09-14,MIL,STL,158,138,500779.0,571945.0,0,0,0,0,2025,5.272284644194757,5.298275862068966,4.9,3.3,100,0.375,0.375,8,1.0,0.5,8
776309,2025-09-15,ARI,SF,109,137,668678.0,678906.0,1,0,1,1,2025,3.894701986754967,3.8878787878787877,5.3,5.6,100,0.5,0.25,8,1.3333333333333333,0.6666666666666666,3
776312,2025-09-15,STL,CIN,138,113,669461.0,641793.0,0,0,0,0,2025,5.858620689655172,5.858620689655172,3.4,4.0,99,0.125,0.125,8,0.5,0.375,8
776304,2025-09-16,NYM,SD,121,135,605280.0,650633.0,5,0,5,1,2025,3.1,5.11716738197425,3.0,4.9,94,0.375,0.375,8,0.25,0.25,8
776298,2025-09-16,MIN,NYY,142,147,805673.0,693645.0,1,2,3,1,2025,4.165573770491804,1.9188976377952756,4.7,3.3,99,0.75,0.5,8,1.0,0.3333333333333333,3
776308,2025-09-16,PIT,CHC,134,112,694973.0,690990.0,1,2,3,1,2025,1.3666666666666667,3.1,2.3,4.3,95,0.125,0.125,8,0.0,0.0,8
